lon,lat,country,city
-103.60286,19.32936,MX,Cuauhtémoc
-98.70639,22.34278,MX,Santa Martha
-99.10978,19.49016,MX,Gustavo A. Madero
-98.94321,22.9957,MX,Xicoténcatl
-93.2094,16.87198,MX,San Fernando
-97.81348,25.96125,MX,El Control
-98.59557,26.23158,MX,Gustavo Díaz Ordaz
-98.85695,21.91401,MX,Nueva Primavera
-99.01077,21.60137,MX,Tamcuime
-99.0265,21.63781,MX,Tampate
-99.09946,19.7967,MX,Zumpango de Ocampo
-99.52607,17.65319,MX,Zumpango del Río
-99.56568,18.91642,MX,Zumpahuacán
-97.57584,20.14104,MX,Zozocolco de Hidalgo
-97.72704,19.97848,MX,Zongozotla
-96.99652,18.6658,MX,Zongolica
-99.49194,19.41768,MX,Zolotepec
-99.18689,17.69131,MX,Zitlala
-92.72356,16.76012,MX,Zinacantán
-96.78362,16.86787,MX,Zimatlán de Álvarez
-99.3818,20.73814,MX,Zimapán
-96.4075,19.44515,MX,Zempoala
-100.731,22.03542,MX,Zaragoza
-99.64412,19.14737,MX,Zaragoza de Guadalupe
-98.86401,19.97593,MX,Zapotlán de Juárez
-98.65621,20.6493,MX,Zacualtipán
-100.32594,17.08895,MX,Zacualpan
-97.96119,19.93372,MX,Zacatlán
-99.19054,18.65388,MX,Zacatepec
-97.58899,19.87271,MX,Zacapoaxtla
-97.72155,21.24762,MX,Zacamixtle
-96.74938,16.95098,MX,Villa de Zaachila
-97.66248,18.79504,MX,Yehualtepec
-96.77607,19.86583,MX,Yecuatla
-98.865,18.88333,MX,Yecapixtla
-99.06715,18.88188,MX,Yautepec
-97.46587,19.87076,MX,Yaonáhuac
-96.79823,18.83321,MX,Yanga
-92.33306,17.17292,MX,Yajalón
-98.42362,20.87586,MX,Xoxolpa
-99.24608,18.68502,MX,Xoxocotla
-97.07944,18.50472,MX,Xopilapa
-99.52752,19.40513,MX,Xonacatlán
-98.88184,19.6425,MX,Xometla
-97.09935,19.01517,MX,Xocotla
-97.77789,18.702,MX,Xochitlán
-98.87611,18.22833,MX,Xochitepec
-98.24099,16.78882,MX,Xochistlahuaca
-99.10513,19.25785,MX,Xochimilco
-98.48837,17.90513,MX,Xochihuehuetlán
-98.99009,21.38681,MX,Xilitla
-97.96154,20.2768,MX,Xicotepec de Juárez
-97.0093,19.42223,MX,Xico
-98.94803,19.27081,MX,San Miguel Xico
-97.97623,18.23679,MX,Xayacatlán de Bravo
-99.71532,17.09869,MX,Xaltianguis
-97.97185,20.17692,MX,Xaltepuxtla
-97.61202,18.87584,MX,Xaltepec
-98.6068,17.47136,MX,Xalpatlahuac
-98.37946,19.21214,MX,Xalmimilulco
-95.06083,17.92361,MX,Vista Hermosa
-99.99608,19.43883,MX,Villa Victoria
-99.20329,19.35867,MX,Alvaro Obregón
-92.93028,17.98689,MX,Villahermosa
-103.59512,21.98353,MX,Villa Guerrero
-91.17049,17.92323,MX,Villa el Triunfo
-99.55876,19.41652,MX,Villa Cuauhtémoc
-93.2672,16.18536,MX,Villa Corzo
-92.57727,15.21401,MX,Villa Comaltitlán
-95.65513,18.13611,MX,Villa Azueta
-97.22333,19.64861,MX,Villa Aldama
-96.13405,19.18074,MX,Veracruz
-102.6542,20.11584,MX,Venustiano Carranza
-103.32962,25.71193,MX,Veinte de Noviembre
-96.6475,20.02861,MX,Vega de Alatorre
-97.81181,25.6718,MX,Valle Hermoso
-102.315,22.02111,MX,Valladolid
-98.3206,22.72788,MX,Ursulo Galván
-94.82952,16.4723,MX,Unión Hidalgo
-89.747,20.8824,MX,Umán
-88.31693,20.71681,MX,Uayma
-89.05043,20.07225,MX,Tzucacab
-97.54024,20.03043,MX,Tzinacapan
-92.26667,16.26667,MX,Tzimol
-96.8636,19.40253,MX,Tuzamapan
-93.11485,16.75469,MX,Tuxtla Gutiérrez
-92.16795,14.93804,MX,Tuxtla Chico
-97.65489,20.00047,MX,Tuxtla
-97.40798,20.95773,MX,Tuxpan de Rodríguez Cano
-88.75223,20.9025,MX,Tunkás
-87.46207,20.21237,MX,Tulum
-99.16796,19.64756,MX,Tultitlán
-99.12806,19.685,MX,Tultepec
-98.44111,18.04582,MX,Tulcingo de Valle
-98.36332,20.08363,MX,Tulancingo
-99.34539,20.05329,MX,Tula de Allende
-99.71172,22.99645,MX,Tula
-96.76274,16.92167,MX,Trinidad de Zaachila
-93.52736,15.88072,MX,Tres Picos
-96.74111,19.54306,MX,Trapiche del Rosario
-96.96133,19.21212,MX,Totutla
-98.92073,18.98487,MX,Totolapan
-92.6803,16.54441,MX,Totolapa
-99.59127,19.23083,MX,San Miguel Totocuitlapilco
-97.83944,19.98111,MX,Tonalixco
-105.24954,19.93658,MX,Tomatlán
-99.65324,19.28786,MX,Toluca de Lerdo
-96.39472,19.26667,MX,Tolome
-98.92163,19.95677,MX,Tolcayuca
-97.01667,18.95,MX,Tocuila
-97.82421,18.83989,MX,Tochtepec
-98.56667,18.9,MX,Tochimilco
-98.02905,19.39002,MX,Tocatlán
-98.98111,18.95556,MX,Tlayacapan
-98.11997,19.61333,MX,Tlaxco de Morelos
-99.22042,20.09163,MX,Tlaxcoapan
-98.02865,20.42422,MX,Tlaxco
-98.28334,19.02863,MX,Tlaxcalancingo
-97.49718,19.84765,MX,Tlatlauquitepec
-99.18639,18.59639,MX,Tlatenchi
-99.16208,18.63693,MX,Tlaquiltenango
-98.57952,17.54042,MX,Tlapa de Comonfort
-95.40056,18.45667,MX,Tlapacoyan
-97.88662,18.86489,MX,Santa Isabel Tlanepantla
-98.65852,20.99058,MX,Tlanchinol
-98.60192,19.8175,MX,Tlanalapa
-97.27555,19.25122,MX,Tlanalapan
-99.22583,17.50306,MX,Tlamixtlahuacan
-99.50185,18.49685,MX,Tlamacazapa
-99.11982,18.68594,MX,Tlaltizapán
-98.34275,19.17163,MX,Tlaltenango
-99.16787,19.29708,MX,Tlalpan
-98.99715,19.00917,MX,Tlalnepantla
-98.80138,19.20807,MX,Tlalmanalco de Velázquez
-96.64666,17.07248,MX,Tlalixtac de Cabrera
-98.80778,18.96694,MX,San Andrés Tlalamac
-98.57522,20.65082,MX,Tlahuelompa (San Francisco Tlahuelompa)
-99.2302,20.12925,MX,Tlahuelilpan
-99.00317,19.28348,MX,Tlahuac
-98.80611,18.98583,MX,San José Tlacotitlán
-97.84917,20.06028,MX,Tlacotepec (San Mateo)
-99.97961,17.78978,MX,Tlacotepec
-95.65847,18.61304,MX,Tlacotalpan
-96.47571,16.95586,MX,Tlacolula de Matamoros
-95.94682,18.23096,MX,Tlacojalpan
-98.30022,16.81053,MX,Tlacoachistlahuaca
-97.41919,19.11528,MX,Tlachichuca
-88.15119,21.14284,MX,Tizimín
-98.98044,19.83728,MX,Tizayuca
-99.39799,17.56732,MX,Tixtla de Guerrero
-89.44229,20.97727,MX,Tixpehual
-89.39444,21.0033,MX,Tixkokob
-88.91684,20.4924,MX,Tixcacaltuyub
-89.51357,20.8118,MX,Timucuy
-99.27555,18.48991,MX,Tilzapotla
-92.48333,17.4,MX,Tila
-88.11236,20.70325,MX,Tikuch
-97.53335,20.71448,MX,Tihuatlán
-88.68902,20.33153,MX,Tiholop
-99.52706,17.16471,MX,Tierra Colorada
-89.53433,20.3996,MX,Ticul
-99.46731,19.17927,MX,Tianguistenco
-99.27204,20.19188,MX,Tezontepec de Aldama
-98.81957,19.88097,MX,Tezontepec
-97.35992,19.8173,MX,Teziutlán
-94.81702,17.89517,MX,Texistepec
-97.03888,18.62196,MX,Texhuacán
-98.88374,19.51158,MX,Texcoco de Mora
-98.92889,18.93583,MX,San Juan Texcalpan
-98.79472,18.93444,MX,Texcala
-97.70311,18.75716,MX,Tetzoyocan
-89.93264,20.96432,MX,Tetiz
-99.64778,18.64778,MX,Tetipac
-99.15456,20.10519,MX,Tetepango
-97.14497,19.05094,MX,Tetelzingo
-97.45704,19.85748,MX,Teteles de Ávila Castillo
-97.80756,19.8162,MX,Tetela de Ocampo
-98.72972,18.89306,MX,Tetela del Volcán
-99.39933,18.73009,MX,Tetecala
-88.15405,20.72209,MX,Tesoco
-97.92492,19.47384,MX,Terrenate
-99.14472,19.90944,MX,Tequixquiac
-99.89167,20.5225,MX,Tequisquiapan
-103.83569,20.88197,MX,Tequila
-99.94667,19.05806,MX,San Martín Tequesquipan (Tequesquipan)
-97.98793,19.11642,MX,Tepulco
-99.21598,19.64388,MX,Cuautitlán Izcalli
-99.09914,18.98603,MX,Tepoztlán
-99.2237,19.71981,MX,Tepotzotlán
-97.92636,18.57913,MX,Tepexi
-97.85235,21.1641,MX,Tepetzintla
-98.81814,19.57498,MX,Tepetlaoxtoc de Hidalgo
-97.69228,18.64027,MX,Tepetlacolco
-99.88667,19.65306,MX,Barrio Tepetitlán Emilio Portes Gil
-97.43395,19.19254,MX,Santa Cecilia Tepetitlán
-98.37585,19.26419,MX,Tepetitla
-98.16968,20.1346,MX,Tepepa
-98.44542,18.72613,MX,San Cristobal Tepeojuma
-99.34297,19.9063,MX,Tepeji de Ocampo
-99.47039,18.27723,MX,Tepecoacuilco de Trujano
-98.55109,19.78618,MX,Tepeapulco
-97.90074,18.96923,MX,Tepeaca
-97.96595,19.06747,MX,Tepatlaxco de Hidalgo
-99.09063,20.24571,MX,Tepatepec
-97.79567,20.0019,MX,Tepango de Rodríguez
-98.84302,18.59582,MX,Tepalcingo
-89.03872,21.04882,MX,Tepakán
-92.47412,16.54547,MX,Teopisca
-98.26258,18.71288,MX,Teopantlán
-99.17855,19.7458,MX,Teoloyucan
-96.97371,19.3856,MX,Teocelo
-91.42214,17.47496,MX,Tenosique de Pino Suárez
-98.85687,19.15774,MX,Tenango del Aire
-98.2272,20.33816,MX,Tenango de Doria
-99.59068,19.10641,MX,Tenango de Arista
-99.28972,20.22603,MX,Tenango
-99.59344,18.96148,MX,Tenancingo de Degollado
-90.22547,20.04092,MX,Tenabó
-98.38802,21.52193,MX,Tempoal de Sánchez
-88.20155,20.80393,MX,Temozón
-99.59411,19.46707,MX,Temoaya
-98.7775,18.77222,MX,Temoac
-99.23072,18.85528,MX,Temixco
-88.94039,21.15105,MX,Temax
-100.00272,19.91639,MX,Temascalcingo
-98.90035,19.82717,MX,Temascalapa
-97.64104,21.06583,MX,Temapache
-98.86921,19.20306,MX,Temamatla
-99.8723,18.36874,MX,Teloloapan
-98.77632,18.56121,MX,Telixtac
-89.26945,21.20312,MX,Telchac
-89.3328,20.53501,MX,Tekit
-89.28629,20.20427,MX,Tekax de Álvaro Obregón
-89.10553,21.01209,MX,Tekanto
-96.8542,17.11134,MX,San Felipe Tejalápam
-99.27078,18.55979,MX,Tehuixtla
-98.50853,21.05337,MX,Tehuetlán
-97.39282,18.46148,MX,Tehuacán
-93.31071,17.13705,MX,Tecpatán
-99.63449,20.53359,MX,Tecozautla
-98.76035,18.98152,MX,San Marcos Tecomaxusco
-97.01437,20.48282,MX,Tecolutla
-93.33317,18.28362,MX,Tecolutilla
-89.47389,20.74417,MX,Tecoh
-98.73401,16.51185,MX,Tecoanapa
-99.52462,19.11302,MX,San Pedro Techuchulco
-97.73132,18.88179,MX,Tecamachalco
-97.9742,18.90294,MX,Tecali de Herrera
-98.815,18.79806,MX,Tecajec
-92.95228,17.54815,MX,Teapa
-89.28355,20.39892,MX,Teabo
-99.60491,18.55629,MX,Taxco de Alarcón
-94.76066,18.24539,MX,Tatahuicapan
-99.31352,20.54836,MX,Tasquillo
-93.017080000000007,17.2495,MX,Tapilula
-92.26185,14.90696,MX,Tapachula
-98.22725,21.35369,MX,Tantoyuca
-99.0377,21.65242,MX,Tanute
-98.66314,21.60579,MX,Tanquián Escobedo
-92.78383,18.16221,MX,Tamulté de las Sabanas
-98.77629,22.00536,MX,Tamuín
-97.86861,22.25528,MX,Tampico
-97.44654,21.28082,MX,Tamiahua
-98.78247,21.25151,MX,Tamazunchale
-99.39365,21.92426,MX,Tamasopo
-99.07764,21.56654,MX,Tamápatz
-97.81188,21.33936,MX,Tamalín
-89.25447,20.873,MX,Tahmek
-97.55082,19.93605,MX,San Juan Tahitic
-92.82635,17.59487,MX,Tacotalpa
-99.96613,18.85847,MX,Sultepec de Pedro Ascencio de Alquisiras
-88.3135,21.15642,MX,Sucila
-92.22322,14.53608,MX,Suchiate
-93.10029,16.6237,MX,Suchiapa
-99.52962,20.01477,MX,Soyaniquilpan
-92.92424,16.89089,MX,Soyaló
-89.00935,20.5969,MX,Sotuta
-98.20516,23.76987,MX,Soto la Marina
-94.87295,18.23271,MX,Soteapan
-97.70861,19.12111,MX,Soltepec
-96.42114,19.04582,MX,Soledad de Doblado
-94.88097,17.96335,MX,Soconusco
