Region,CLUESSalud,ClavePersonal,UnidadInformacionPREI,ClavePresupuestal,Cve_Deleg_UMAE,NombreDelegacionUMAE,RelacionDelegacion-UMAE,UnidadPresupuestal,NivelAtencion,DenominacionUnidad,TipoServicio,DescripcionTipoServicio,Número de Unidad,NombreUnidad,Direccion,TipoVialidad,NombreVialidad,EntreVialidades,NúmeroExterior,TipoAsentamiento,NombreAsentamiento,Códigopostal,ClaveMunicipioDelegacion,Municipio o Delegacion,ClaveLocalidad,Localidad,ClaveEntidadFederativa,EntidadFederativa,ClaveJurisdiccionSanitaria,JurisdiccionSanitaria,Latitud,Longitud,InicioProductividad,Estatus,Comentarios,Grado de Marginacion,fecha_baja,servicioMedicinaFamiliar
Occidente,JCIMS000366,14HA45,140501,140102062151,14,Jalisco,Jalisco,2151,Segundo Nivel,HGR 45 Guadalajara,06,HGR,45,NA,"Calle San Felipe, No.1014 Colonia Guadalajara Centro C.P.44100, Municipio Guadalajara,Jalisco",Calle,San Felipe,NA,1014,Colonia,Guadalajara Centro,44100,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6796,-103.3629,1962-03-01 00:00:00.000,Activa,NA,Muy Bajo,NA,NA
Occidente,JCIMS000395,14UA01,142401,140103252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 1 Guadalajara,25,UMF,1,NA,"Calzada Del Campesino, No.100 Colonia Guadalajara Centro C.P.44100, Municipio Guadalajara,Jalisco",Calzada,Del Campesino,NA,100,Colonia,Guadalajara Centro,44100,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6743,-103.3578,1958-01-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000412,14UA02,142402,140104252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 2 Guadalajara,25,UMF,2,NA,"Calle Jesús Gárcia, No.1480 Barrio Santa Teresita C.P.44600, Municipio Guadalajara,Jalisco",Calle,Jesús Gárcia,NA,1480,Barrio,Santa Teresita,44600,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6891,-103.367,1966-01-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000482,14UA52,142403,140113252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF-UMAA 52 Guadalajara,25,UMF-UMAA,52,NA,"Boulevard Marcelino Garcia Barragan , No.1596 Colonia Olímpica C.P.44430, Municipio Guadalajara,Jalisco",Boulevard,Marcelino Garcia Barragan,entre Rio Suchiate y Rio Mezcala,1596,Colonia,Olímpica,44430,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6556,-103.3307,1980-10-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000482,14UA52,142403,140113UA2110,14,Jalisco,Jalisco,2110,Segundo Nivel,UMAA 52 Guadalajara,UA,UMAA,52,NA,"Boulevard Marcelino Garcia Barragan , No.1596 Colonia Olímpica C.P.44430, Municipio Guadalajara,Jalisco",Boulevard,Marcelino Garcia Barragan,entre Rio Suchiate y Rio Mezcala,1596,Colonia,Olímpica,44430,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6556363,-103.3307199,1980-10-01 00:00:00.000,Activa,NA,Muy Bajo,NA,NA
Occidente,JCIMS000470,14UA51,142404,140115252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 51 Guadalajara,25,UMF,51,NA,"Calle Magisterio , No.1425 Colonia Observatorio C.P.44266, Municipio Guadalajara,Jalisco",Calle,Magisterio,y Zacatecas,1425,Colonia,Observatorio,44266,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6981,-103.3516,1987-04-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000506,14UA78,142405,140123252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 78 Guadalajara,25,UMF,78,NA,"Avenida San Jacinto , No.588 Colonia San Rafael C.P.44810, Municipio Guadalajara,Jalisco",Avenida,San Jacinto,"y Av, del Parque",588,Colonia,San Rafael,44810,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6517,-103.3029,1988-07-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000540,14UA92,142406,140130252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 92 Miravalle,25,UMF,92,NA,"Avenida Gobernador Luis G. Curiel , No.S/N Unidad Habitacional Miravalle C.P.44990, Municipio Guadalajara,Jalisco",Avenida,Gobernador Luis G. Curiel,entre. Av. de La Pintura y Salome Piña,S/N,Unidad Habitacional,Miravalle,44990,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6146,-103.3451,1983-01-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
Occidente,JCIMS000330,14HC14,140101,140134012151,14,Jalisco,Jalisco,2151,Segundo Nivel,HGZ 14 Guadalajara,01,HGZ,14,NA,"Avenida Revolución , No.2735 Colonia Jardines de la Paz C.P.44860, Municipio Guadalajara,Jalisco",Avenida,Revolución,y Av. Rio Nilo,2735,Colonia,Jardines de la Paz,44860,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6447,-103.3052,1973-09-01 00:00:00.000,Activa,NA,Muy Bajo,NA,NA
Occidente,JCIMS000436,14UA34,142408,140138252110,14,Jalisco,Jalisco,2110,Primer Nivel,UMF 34 Guadalajara,25,UMF,34,NA,"Avenida López de Legaspi., No.1722 Unidad Habitacional 18 de Marzo C.P.44960, Municipio Guadalajara,Jalisco",Avenida,López de Legaspi.,NA,1722,Unidad Habitacional,18 de Marzo,44960,039,Guadalajara,0001,Guadalajara,14,Jalisco,13,Centro Guadalajara,20.6381,-103.3782,1975-03-01 00:00:00.000,Activa,NA,Muy Bajo,NA,TRUE
