Parametro,Fuente,Anio,Mes,Cve_OOAD,Nombre_OOAD,Cve_Presupuestal,Nombre_Unidad,Sexo,Grupo_edad,Pacientes_DM,Atendidos_DM,PAMF,Prevalencia_DM
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,00 a 04,2,1,6213,0.03
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,05 a 09,7,2,6721,0.1
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,10 a 14,20,10,6823,0.29
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,15 a 19,22,10,4135,0.53
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,20 a 24,26,15,5147,0.51
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,25 a 29,40,30,5704,0.7
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,30 a 34,64,46,5560,1.15
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,35 a 39,134,97,5004,2.68
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,40 a 44,273,206,4924,5.54
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,45 a 49,330,255,4067,8.11
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,50 a 54,470,369,3312,14.19
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,55 a 59,537,421,2799,19.19
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,60 a 64,560,453,2306,24.28
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,65 a 69,587,472,2028,28.94
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,70 a 74,503,381,1623,30.99
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,75 a 79,369,268,1237,29.83
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,80 a 84,207,143,864,23.96
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,85 y mas,168,79,1089,15.43
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,00 a 04,1,1,3251,0.03
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,05 a 09,3,0,3464,0.09
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,10 a 14,12,6,3457,0.35
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,15 a 19,14,7,1914,0.73
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,20 a 24,11,5,2306,0.48
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,25 a 29,13,12,2597,0.5
Censo DM,DIS,2014,12,14,Jalisco,141201252110,UMF 168 Tepatitlán,1,30 a 34,32,25,2630,1.22
