PERIODO,SEMEPI,NIVEL,descnivel,RAMO,descramo,LISTDX,CVEDX,descdx,TIP_SEXO,descsexo,GEDAD,descgedad,DURACI,NDIAS,FREC,TRABAJADOR
2022,52,99,Nacional,3,Maternidad,2,136,Diabetes mellitus en el embarazo,2,Mujer,3,30 a 39,84,84,1,No IMSS
2022,52,99,Nacional,3,Maternidad,2,136,Diabetes mellitus en el embarazo,2,Mujer,3,30 a 39,90,90,1,IMSS
2022,52,99,Nacional,3,Maternidad,2,136,Diabetes mellitus en el embarazo,2,Mujer,4,40 a 49,84,168,2,No IMSS
2022,52,99,Nacional,1,Riesgo de trabajo,2,49,Diabetes mellitus tipo 2,1,Hombre,5,50 a 59,122,122,1,No IMSS
2022,52,99,Nacional,1,Riesgo de trabajo,2,49,Diabetes mellitus tipo 2,2,Mujer,3,30 a 39,9,18,2,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,1,00 a 19,14,14,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,2,20 a 29,10.16666666666666666666666666666666666667,61,6,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,3,30 a 39,34.7,347,10,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,4,40 a 49,36.85714285714285714285714285714285714286,774,21,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,5,50 a 59,56.71875,1815,32,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,6,60 a 69,52.625,421,8,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,2,20 a 29,5,20,4,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,3,30 a 39,8.4,42,5,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,4,40 a 49,15.82352941176470588235294117647058823529,269,17,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,5,50 a 59,32.76470588235294117647058823529411764706,557,17,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,5,50 a 59,39.5,79,2,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,6,60 a 69,18,18,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,6,60 a 69,92,92,1,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,136,Diabetes mellitus en el embarazo,1,Hombre,3,30 a 39,6,6,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,136,Diabetes mellitus en el embarazo,2,Mujer,2,20 a 29,4.2,21,5,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,136,Diabetes mellitus en el embarazo,2,Mujer,3,30 a 39,10.75,43,4,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,136,Diabetes mellitus en el embarazo,2,Mujer,4,40 a 49,5,5,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,1,00 a 19,2,2,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,2,20 a 29,8,8,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,2,20 a 29,14.11111111111111111111111111111111111111,254,18,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,3,30 a 39,19.33333333333333333333333333333333333333,58,3,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,3,30 a 39,28.64705882352941176470588235294117647059,974,34,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,4,40 a 49,3.5,7,2,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,4,40 a 49,57.88888888888888888888888888888888888889,4689,81,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,5,50 a 59,56.18518518518518518518518518518518518519,6068,108,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,6,60 a 69,39.96,999,25,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,2,20 a 29,6.5,65,10,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,3,30 a 39,1.5,3,2,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,3,30 a 39,14.89473684210526315789473684210526315789,283,19,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,4,40 a 49,1.66666666666666666666666666666666666667,5,3,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,4,40 a 49,22.66666666666666666666666666666666666667,748,33,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,5,50 a 59,36.61111111111111111111111111111111111111,1318,36,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,5,50 a 59,90,180,2,IMSS
2022,52,99,Nacional,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,6,60 a 69,32.3,323,10,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM127,Prediabetes,1,Hombre,3,30 a 39,3,3,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM127,Prediabetes,1,Hombre,4,40 a 49,2,2,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM127,Prediabetes,1,Hombre,5,50 a 59,2,2,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,1,Hombre,4,40 a 49,4,8,2,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,1,Hombre,5,50 a 59,48.33333333333333333333333333333333333333,290,6,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,1,Hombre,6,60 a 69,78,156,2,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,2,Mujer,3,30 a 39,7,7,1,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,2,Mujer,4,40 a 49,2,4,2,No IMSS
2022,52,99,Nacional,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,2,Mujer,5,50 a 59,128,256,2,No IMSS
2023,1,142417,UMF 168 Tepatitlán,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,5,50 a 59,3,3,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,3,30 a 39,7,7,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,4,40 a 49,18,54,3,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,5,50 a 59,78.4,392,5,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,1,Hombre,6,60 a 69,70,70,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,4,40 a 49,1,1,1,IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,4,40 a 49,43.2,216,5,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,127,Diabetes mellitus tipo 1,2,Mujer,5,50 a 59,5,5,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,136,Diabetes mellitus en el embarazo,2,Mujer,2,20 a 29,5,5,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,2,20 a 29,10,20,2,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,3,30 a 39,33,165,5,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,4,40 a 49,34.18181818181818181818181818181818181818,376,11,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,5,50 a 59,8.5,68,8,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,6,60 a 69,11,44,4,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,1,Hombre,7,70 y más,28,28,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,3,30 a 39,18.75,75,4,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,4,40 a 49,57.33333333333333333333333333333333333333,172,3,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,5,50 a 59,28,168,6,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,49,Diabetes mellitus tipo 2,2,Mujer,6,60 a 69,18.66666666666666666666666666666666666667,56,3,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,1,Hombre,2,20 a 29,9,9,1,No IMSS
2023,1,14,Jalisco,2,Enfermedad general,2,IM237,Nefropatía por diabetes mellitus,1,Hombre,4,40 a 49,45,45,1,No IMSS
