id,anio,mes_i,nom_indicador,tipo,periodicidad,clave,nombre_unidad,numerador,denominador,indicador,digito_equivalencia
272411,2014,1,DM 01,OOAD,Mensual acumulado,00,Nacional,1142105,25982460,4.4,1
272424,2014,1,DM 01,OOAD,Mensual acumulado,14,Jalisco,97980,2161671,4.5,1
272795,2014,1,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,1521,38548,3.9,1
273682,2014,2,DM 01,OOAD,Mensual acumulado,00,Nacional,1956833,25983933,7.5,1
273695,2014,2,DM 01,OOAD,Mensual acumulado,14,Jalisco,169126,2161665,7.8,1
274066,2014,2,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,2569,38549,6.7,1
274953,2014,3,DM 01,OOAD,Mensual acumulado,00,Nacional,2579150,25984309,9.9,1
274966,2014,3,DM 01,OOAD,Mensual acumulado,14,Jalisco,224584,2161665,10.4,1
275337,2014,3,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,3553,38549,9.2,1
276224,2014,4,DM 01,OOAD,Mensual acumulado,00,Nacional,3234385,25984308,12.4,1
276237,2014,4,DM 01,OOAD,Mensual acumulado,14,Jalisco,280281,2161665,13,1
276608,2014,4,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,4351,38549,11.3,1
277495,2014,5,DM 01,OOAD,Mensual acumulado,00,Nacional,3777099,25981649,14.5,1
277508,2014,5,DM 01,OOAD,Mensual acumulado,14,Jalisco,324969,2161665,15,1
277879,2014,5,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,4969,38549,12.9,1
278766,2014,6,DM 01,OOAD,Mensual acumulado,00,Nacional,4395768,25984312,16.9,1
278779,2014,6,DM 01,OOAD,Mensual acumulado,14,Jalisco,375817,2161665,17.4,1
279150,2014,6,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,5752,38549,14.9,1
280037,2014,7,DM 01,OOAD,Mensual acumulado,00,Nacional,4969282,26004361,19.1,1
280050,2014,7,DM 01,OOAD,Mensual acumulado,14,Jalisco,424073,2161665,19.6,1
280421,2014,7,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,6418,38549,16.6,1
281308,2014,8,DM 01,OOAD,Mensual acumulado,00,Nacional,5466814,25981344,21,1
281321,2014,8,DM 01,OOAD,Mensual acumulado,14,Jalisco,466636,2161665,21.6,1
281692,2014,8,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,7163,38549,18.6,1
282579,2014,9,DM 01,OOAD,Mensual acumulado,00,Nacional,5978403,25984025,23,1
282592,2014,9,DM 01,OOAD,Mensual acumulado,14,Jalisco,511079,2161665,23.6,1
282963,2014,9,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,7690,38549,19.9,1
283850,2014,10,DM 01,OOAD,Mensual acumulado,00,Nacional,6482260,26739520,24.2,1
283863,2014,10,DM 01,OOAD,Mensual acumulado,14,Jalisco,550323,2190446,25.1,1
284234,2014,10,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,8281,38549,21.5,1
285121,2014,11,DM 01,OOAD,Mensual acumulado,00,Nacional,6962357,25984300,26.8,1
285134,2014,11,DM 01,OOAD,Mensual acumulado,14,Jalisco,590611,2161665,27.3,1
285505,2014,11,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,8882,38549,23,1
286392,2014,12,DM 01,OOAD,Mensual acumulado,00,Nacional,7439068,25983465,28.6,1
286405,2014,12,DM 01,OOAD,Mensual acumulado,14,Jalisco,622948,2161665,28.8,1
286776,2014,12,DM 01,Unidad,Mensual acumulado,141201252110,UMF  168 TEPATITLAN,9482,38549,24.6,1
287663,2014,1,DM 02,OOAD,Mensual,00,Nacional,202,19236,1.1,2
287676,2014,1,DM 02,OOAD,Mensual,14,Jalisco,19,2319,0.8,2
288047,2014,1,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,0,59,0,2
288934,2014,2,DM 02,OOAD,Mensual,00,Nacional,390,21319,1.8,2
288947,2014,2,DM 02,OOAD,Mensual,14,Jalisco,18,2814,0.6,2
289318,2014,2,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1,54,1.9,2
290205,2014,3,DM 02,OOAD,Mensual,00,Nacional,393,19151,2.1,2
290218,2014,3,DM 02,OOAD,Mensual,14,Jalisco,26,2547,1,2
290589,2014,3,DM 02,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1,62,1.6,2
291476,2014,4,DM 02,OOAD,Mensual,00,Nacional,394,21637,1.8,2
291489,2014,4,DM 02,OOAD,Mensual,14,Jalisco,14,2548,0.5,2
